,precision,recall,f1-score,support
accipitridae,0.6153846153846154,0.6666666666666666,0.64,12.0
acipenseridae,0.5,0.1111111111111111,0.18181818181818182,9.0
acroporidae,0.75,0.5714285714285714,0.6486486486486487,21.0
agamidae,0.0,0.0,0.0,6.0
agariciidae,0.0,0.0,0.0,12.0
albulidae,0.0,0.0,0.0,3.0
alcedinidae,1.0,0.3333333333333333,0.5,3.0
alligatoridae,0.2,0.3333333333333333,0.25,3.0
alopiidae,0.25,0.16666666666666666,0.2,6.0
ambystomatidae,0.2,0.16666666666666666,0.18181818181818182,6.0
anatidae,0.7142857142857143,0.2777777777777778,0.4,18.0
anguidae,0.0,0.0,0.0,6.0
aotidae,0.4,0.3333333333333333,0.36363636363636365,6.0
apidae,0.8461538461538461,0.7333333333333333,0.7857142857142857,15.0
ardeidae,0.5,0.16666666666666666,0.25,6.0
arthroleptidae,0.375,1.0,0.5454545454545454,3.0
atelidae,0.0,0.0,0.0,15.0
attelabidae,0.6,1.0,0.75,3.0
balaenicipitidae,0.0,0.0,0.0,3.0
balaenidae,0.0,0.0,0.0,3.0
balaenopteridae,0.2,0.3333333333333333,0.25,3.0
balistidae,0.25,0.5,0.3333333333333333,6.0
bombycillidae,0.5,0.6666666666666666,0.5714285714285714,3.0
bovidae,0.7222222222222222,0.5416666666666666,0.6190476190476191,24.0
brachypteraciidae,0.16666666666666666,0.3333333333333333,0.2222222222222222,3.0
bucerotidae,0.35294117647058826,0.2857142857142857,0.3157894736842105,21.0
bufonidae,1.0,0.26666666666666666,0.42105263157894735,15.0
burhinidae,0.375,0.5,0.42857142857142855,6.0
cacatuidae,0.5,0.3333333333333333,0.4,3.0
callitrichidae,0.0,0.0,0.0,12.0
callorhinchidae,0.0,0.0,0.0,3.0
caprimulgidae,0.0,0.0,0.0,3.0
carabidae,0.6666666666666666,0.3333333333333333,0.4444444444444444,6.0
carcharhinidae,0.5925925925925926,0.5925925925925926,0.5925925925925926,27.0
cardiidae,0.09090909090909091,0.16666666666666666,0.11764705882352941,6.0
carettochelyidae,0.6666666666666666,0.6666666666666666,0.6666666666666666,3.0
cebidae,0.6363636363636364,0.7777777777777778,0.7,9.0
cerambycidae,0.75,1.0,0.8571428571428571,3.0
cercopithecidae,0.5454545454545454,0.2,0.2926829268292683,30.0
cervidae,0.0,0.0,0.0,3.0
cetorhinidae,0.0,0.0,0.0,3.0
chaetodontidae,0.5555555555555556,0.8333333333333334,0.6666666666666666,6.0
chamaeleonidae,0.42857142857142855,0.5,0.46153846153846156,6.0
charadriidae,0.6,0.5,0.5454545454545454,6.0
cheirogaleidae,0.6666666666666666,0.6666666666666666,0.6666666666666666,3.0
chelidae,0.0,0.0,0.0,6.0
cheloniidae,0.0,0.0,0.0,3.0
chelydridae,0.0,0.0,0.0,3.0
ciconiidae,0.5,0.5555555555555556,0.5263157894736842,9.0
coenagrionidae,0.3333333333333333,0.6666666666666666,0.4444444444444444,3.0
colubridae,0.7142857142857143,0.5555555555555556,0.625,9.0
columbidae,0.75,1.0,0.8571428571428571,3.0
conidae,0.75,1.0,0.8571428571428571,3.0
cracidae,0.3333333333333333,0.16666666666666666,0.2222222222222222,6.0
cricetidae,0.42857142857142855,1.0,0.6,3.0
crocodylidae,0.26666666666666666,0.6666666666666666,0.38095238095238093,6.0
cryptobranchidae,0.0,0.0,0.0,6.0
ctenomyidae,0.25,0.3333333333333333,0.2857142857142857,3.0
cuculidae,0.25,0.3333333333333333,0.2857142857142857,3.0
cyprinodontidae,0.0,0.0,0.0,3.0
dactyloidae,0.625,0.3333333333333333,0.43478260869565216,30.0
dalatiidae,0.0,0.0,0.0,3.0
dasyatidae,0.6666666666666666,0.13333333333333333,0.2222222222222222,15.0
dasypodidae,0.2,0.3333333333333333,0.25,3.0
dasyuridae,0.5,0.6666666666666666,0.5714285714285714,3.0
daubentoniidae,0.3333333333333333,0.3333333333333333,0.3333333333333333,3.0
delphinidae,0.5,0.4166666666666667,0.45454545454545453,12.0
dendrobatidae,0.4,0.6666666666666666,0.5,3.0
dendrophylliidae,0.05714285714285714,0.6666666666666666,0.10526315789473684,3.0
diomedeidae,0.875,0.3888888888888889,0.5384615384615384,18.0
diploastraeidae,0.3333333333333333,0.6666666666666666,0.4444444444444444,3.0
diplodactylidae,0.0,0.0,0.0,6.0
elapidae,0.15384615384615385,0.6666666666666666,0.25,3.0
emydidae,0.0,0.0,0.0,6.0
equidae,0.75,1.0,0.8571428571428571,3.0
estrildidae,0.3,1.0,0.46153846153846156,3.0
euphylliidae,0.25,0.1111111111111111,0.15384615384615385,9.0
falconidae,0.0,0.0,0.0,6.0
faviidae,0.125,0.3333333333333333,0.18181818181818182,6.0
formicidae,0.8181818181818182,0.3103448275862069,0.45,29.0
fringillidae,1.0,0.16666666666666666,0.2857142857142857,6.0
fungiidae,1.0,1.0,1.0,3.0
gavialidae,0.0,0.0,0.0,3.0
gekkonidae,0.0,0.0,0.0,3.0
geoemydidae,1.0,0.3333333333333333,0.5,9.0
giraffidae,1.0,0.6666666666666666,0.8,3.0
glareolidae,0.0,0.0,0.0,3.0
gliridae,0.0,0.0,0.0,3.0
gomphidae,0.8,0.6666666666666666,0.7272727272727273,6.0
goodeidae,1.0,1.0,1.0,3.0
gymnuridae,0.1111111111111111,0.3333333333333333,0.16666666666666666,3.0
haliotidae,0.5,1.0,0.6666666666666666,3.0
helioporidae,0.16666666666666666,0.3333333333333333,0.2222222222222222,3.0
hemiscylliidae,0.0,0.0,0.0,3.0
hexanchidae,0.14285714285714285,0.16666666666666666,0.15384615384615385,6.0
hominidae,0.75,1.0,0.8571428571428571,3.0
hyaenidae,0.5,0.6666666666666666,0.5714285714285714,3.0
hylobatidae,0.19047619047619047,0.4444444444444444,0.26666666666666666,9.0
hynobiidae,0.0,0.0,0.0,3.0
iguanidae,0.45454545454545453,0.4166666666666667,0.43478260869565216,12.0
indriidae,0.2857142857142857,0.6666666666666666,0.4,3.0
labridae,0.36363636363636365,0.6666666666666666,0.47058823529411764,6.0
lacertidae,0.25,0.16666666666666666,0.2,6.0
lamnidae,0.5,0.6666666666666666,0.5714285714285714,3.0
laridae,0.7142857142857143,0.3333333333333333,0.45454545454545453,15.0
latimeriidae,0.2857142857142857,0.6666666666666666,0.4,3.0
lemuridae,1.0,0.3333333333333333,0.5,6.0
leporidae,0.0,0.0,0.0,6.0
lobophylliidae,0.4,0.6666666666666666,0.5,3.0
lucanidae,1.0,0.6666666666666666,0.8,3.0
lutjanidae,0.0,0.0,0.0,3.0
manidae,0.3333333333333333,0.16666666666666666,0.2222222222222222,6.0
mantellidae,0.2222222222222222,0.6666666666666666,0.3333333333333333,3.0
meandrinidae,0.5,0.3333333333333333,0.4,3.0
megapodiidae,1.0,1.0,1.0,3.0
merlucciidae,0.3333333333333333,0.3333333333333333,0.3333333333333333,3.0
merulinidae,0.2857142857142857,0.3333333333333333,0.3076923076923077,6.0
mesitornithidae,1.0,0.3333333333333333,0.5,3.0
mimidae,0.0,0.0,0.0,3.0
motacillidae,0.3333333333333333,0.6666666666666666,0.4444444444444444,3.0
muscicapidae,0.6,1.0,0.75,3.0
mustelidae,0.25,0.1111111111111111,0.15384615384615385,9.0
myliobatidae,0.21428571428571427,0.3333333333333333,0.2608695652173913,9.0
nesospingidae,0.0,0.0,0.0,3.0
nymphalidae,0.5,0.3333333333333333,0.4,3.0
odontophoridae,1.0,0.6666666666666666,0.8,3.0
otariidae,0.3,0.5,0.375,6.0
otididae,0.0,0.0,0.0,3.0
palinuridae,0.5,0.6666666666666666,0.5714285714285714,3.0
pangasiidae,0.0,0.0,0.0,3.0
papilionidae,1.0,1.0,1.0,3.0
paradisaeidae,1.0,0.6666666666666666,0.8,3.0
pardalotidae,0.0,0.0,0.0,3.0
parulidae,0.5,0.3333333333333333,0.4,3.0
percidae,0.5,0.6666666666666666,0.5714285714285714,3.0
phasianidae,0.25,0.3333333333333333,0.2857142857142857,3.0
phrynosomatidae,0.0,0.0,0.0,3.0
phyllomedusidae,0.3333333333333333,0.6666666666666666,0.4444444444444444,3.0
phyllostomidae,0.0,0.0,0.0,3.0
pisauridae,0.0,0.0,0.0,3.0
pittidae,0.5,1.0,0.6666666666666666,3.0
platystictidae,1.0,0.3333333333333333,0.5,3.0
plethodontidae,0.6666666666666666,0.2222222222222222,0.3333333333333333,27.0
pleuronectidae,0.5,0.6666666666666666,0.5714285714285714,3.0
pocilloporidae,0.6,0.5,0.5454545454545454,6.0
podocnemididae,0.0,0.0,0.0,3.0
polyprionidae,0.08333333333333333,0.3333333333333333,0.13333333333333333,3.0
pontoporiidae,0.0,0.0,0.0,3.0
potoroidae,0.18181818181818182,0.6666666666666666,0.2857142857142857,3.0
pristidae,0.0,0.0,0.0,3.0
procellariidae,0.25,0.1111111111111111,0.15384615384615385,9.0
pseudophasmatidae,0.375,1.0,0.5454545454545454,3.0
