,precision,recall,f1-score,support
accipitridae,0.6,0.5,0.5454545454545454,12.0
acipenseridae,0.3,0.3333333333333333,0.3157894736842105,9.0
acroporidae,0.9333333333333333,0.6666666666666666,0.7777777777777778,21.0
agamidae,0.5,0.3333333333333333,0.4,6.0
agariciidae,0.5,0.25,0.3333333333333333,12.0
albulidae,0.0,0.0,0.0,3.0
alcedinidae,0.5,0.6666666666666666,0.5714285714285714,3.0
alligatoridae,1.0,0.6666666666666666,0.8,3.0
alopiidae,0.42857142857142855,0.5,0.46153846153846156,6.0
ambystomatidae,0.3333333333333333,0.6666666666666666,0.4444444444444444,6.0
anatidae,0.6666666666666666,0.4444444444444444,0.5333333333333333,18.0
anguidae,0.5555555555555556,0.8333333333333334,0.6666666666666666,6.0
aotidae,0.3333333333333333,0.16666666666666666,0.2222222222222222,6.0
apidae,1.0,0.8,0.8888888888888888,15.0
ardeidae,0.5,0.5,0.5,6.0
arthroleptidae,0.75,1.0,0.8571428571428571,3.0
atelidae,0.6666666666666666,0.4,0.5,15.0
attelabidae,0.75,1.0,0.8571428571428571,3.0
balaenicipitidae,0.5,0.3333333333333333,0.4,3.0
balaenidae,0.0,0.0,0.0,3.0
balaenopteridae,0.5,0.6666666666666666,0.5714285714285714,3.0
balistidae,0.5555555555555556,0.8333333333333334,0.6666666666666666,6.0
bombycillidae,0.75,1.0,0.8571428571428571,3.0
bovidae,0.7692307692307693,0.8333333333333334,0.8,24.0
brachypteraciidae,0.3333333333333333,0.3333333333333333,0.3333333333333333,3.0
bucerotidae,0.5,0.47619047619047616,0.4878048780487805,21.0
bufonidae,1.0,0.4666666666666667,0.6363636363636364,15.0
burhinidae,0.6666666666666666,0.6666666666666666,0.6666666666666666,6.0
cacatuidae,0.75,1.0,0.8571428571428571,3.0
callitrichidae,0.16666666666666666,0.08333333333333333,0.1111111111111111,12.0
callorhinchidae,0.0,0.0,0.0,3.0
caprimulgidae,0.0,0.0,0.0,3.0
carabidae,0.7142857142857143,0.8333333333333334,0.7692307692307693,6.0
carcharhinidae,0.6,0.3333333333333333,0.42857142857142855,27.0
cardiidae,0.4166666666666667,0.8333333333333334,0.5555555555555556,6.0
carettochelyidae,0.5,0.6666666666666666,0.5714285714285714,3.0
cebidae,0.75,0.6666666666666666,0.7058823529411765,9.0
cerambycidae,0.75,1.0,0.8571428571428571,3.0
cercopithecidae,0.6538461538461539,0.5666666666666667,0.6071428571428571,30.0
cervidae,0.5,0.3333333333333333,0.4,3.0
cetorhinidae,0.375,1.0,0.5454545454545454,3.0
chaetodontidae,1.0,1.0,1.0,6.0
chamaeleonidae,0.8333333333333334,0.8333333333333334,0.8333333333333334,6.0
charadriidae,0.6666666666666666,0.6666666666666666,0.6666666666666666,6.0
cheirogaleidae,1.0,0.6666666666666666,0.8,3.0
chelidae,0.5,0.16666666666666666,0.25,6.0
cheloniidae,0.0,0.0,0.0,3.0
chelydridae,0.0,0.0,0.0,3.0
ciconiidae,0.6666666666666666,0.6666666666666666,0.6666666666666666,9.0
coenagrionidae,0.5,0.6666666666666666,0.5714285714285714,3.0
colubridae,0.8,0.8888888888888888,0.8421052631578947,9.0
columbidae,1.0,1.0,1.0,3.0
conidae,1.0,1.0,1.0,3.0
cracidae,0.5,0.5,0.5,6.0
cricetidae,1.0,1.0,1.0,3.0
crocodylidae,0.3333333333333333,0.8333333333333334,0.47619047619047616,6.0
cryptobranchidae,0.36363636363636365,0.6666666666666666,0.47058823529411764,6.0
ctenomyidae,0.5,0.6666666666666666,0.5714285714285714,3.0
cuculidae,0.25,0.6666666666666666,0.36363636363636365,3.0
cyprinodontidae,0.3333333333333333,0.3333333333333333,0.3333333333333333,3.0
dactyloidae,0.7777777777777778,0.7,0.7368421052631579,30.0
dalatiidae,0.75,1.0,0.8571428571428571,3.0
dasyatidae,0.5789473684210527,0.7333333333333333,0.6470588235294118,15.0
dasypodidae,1.0,0.6666666666666666,0.8,3.0
dasyuridae,1.0,0.6666666666666666,0.8,3.0
daubentoniidae,1.0,0.6666666666666666,0.8,3.0
delphinidae,0.8,0.6666666666666666,0.7272727272727273,12.0
dendrobatidae,0.6666666666666666,0.6666666666666666,0.6666666666666666,3.0
dendrophylliidae,0.125,0.3333333333333333,0.18181818181818182,3.0
diomedeidae,0.7368421052631579,0.7777777777777778,0.7567567567567568,18.0
diploastraeidae,0.25,0.6666666666666666,0.36363636363636365,3.0
diplodactylidae,1.0,0.16666666666666666,0.2857142857142857,6.0
elapidae,0.5,0.6666666666666666,0.5714285714285714,3.0
emydidae,0.5,0.6666666666666666,0.5714285714285714,6.0
equidae,0.75,1.0,0.8571428571428571,3.0
estrildidae,0.75,1.0,0.8571428571428571,3.0
euphylliidae,0.4,0.6666666666666666,0.5,9.0
falconidae,0.5,0.16666666666666666,0.25,6.0
faviidae,0.2727272727272727,0.5,0.35294117647058826,6.0
formicidae,1.0,0.5517241379310345,0.7111111111111111,29.0
fringillidae,0.6666666666666666,0.6666666666666666,0.6666666666666666,6.0
fungiidae,0.5,1.0,0.6666666666666666,3.0
gavialidae,0.5,0.3333333333333333,0.4,3.0
gekkonidae,1.0,0.3333333333333333,0.5,3.0
geoemydidae,0.6666666666666666,0.6666666666666666,0.6666666666666666,9.0
giraffidae,0.75,1.0,0.8571428571428571,3.0
glareolidae,0.25,0.3333333333333333,0.2857142857142857,3.0
gliridae,0.0,0.0,0.0,3.0
gomphidae,1.0,0.8333333333333334,0.9090909090909091,6.0
goodeidae,1.0,1.0,1.0,3.0
gymnuridae,0.0,0.0,0.0,3.0
haliotidae,1.0,1.0,1.0,3.0
helioporidae,0.25,0.3333333333333333,0.2857142857142857,3.0
hemiscylliidae,0.3333333333333333,0.3333333333333333,0.3333333333333333,3.0
hexanchidae,0.3333333333333333,0.3333333333333333,0.3333333333333333,6.0
hominidae,1.0,1.0,1.0,3.0
hyaenidae,0.6666666666666666,0.6666666666666666,0.6666666666666666,3.0
hylobatidae,0.5714285714285714,0.8888888888888888,0.6956521739130435,9.0
hynobiidae,0.4,0.6666666666666666,0.5,3.0
iguanidae,0.8333333333333334,0.8333333333333334,0.8333333333333334,12.0
indriidae,0.3333333333333333,0.3333333333333333,0.3333333333333333,3.0
labridae,0.42857142857142855,0.5,0.46153846153846156,6.0
lacertidae,0.6666666666666666,0.3333333333333333,0.4444444444444444,6.0
lamnidae,0.3333333333333333,0.6666666666666666,0.4444444444444444,3.0
laridae,0.5,0.4666666666666667,0.4827586206896552,15.0
latimeriidae,0.2857142857142857,0.6666666666666666,0.4,3.0
lemuridae,0.8333333333333334,0.8333333333333334,0.8333333333333334,6.0
leporidae,0.4,0.6666666666666666,0.5,6.0
lobophylliidae,1.0,0.3333333333333333,0.5,3.0
lucanidae,1.0,1.0,1.0,3.0
lutjanidae,0.0,0.0,0.0,3.0
manidae,0.4444444444444444,0.6666666666666666,0.5333333333333333,6.0
mantellidae,1.0,0.3333333333333333,0.5,3.0
meandrinidae,0.5,0.6666666666666666,0.5714285714285714,3.0
megapodiidae,0.75,1.0,0.8571428571428571,3.0
merlucciidae,0.5,1.0,0.6666666666666666,3.0
merulinidae,0.0,0.0,0.0,6.0
mesitornithidae,1.0,0.3333333333333333,0.5,3.0
mimidae,1.0,0.3333333333333333,0.5,3.0
motacillidae,0.25,0.3333333333333333,0.2857142857142857,3.0
muscicapidae,1.0,0.6666666666666666,0.8,3.0
mustelidae,0.42857142857142855,0.3333333333333333,0.375,9.0
myliobatidae,0.6,0.6666666666666666,0.631578947368421,9.0
nesospingidae,0.2857142857142857,0.6666666666666666,0.4,3.0
nymphalidae,0.5,0.3333333333333333,0.4,3.0
odontophoridae,1.0,0.6666666666666666,0.8,3.0
otariidae,0.46153846153846156,1.0,0.631578947368421,6.0
otididae,0.5,0.3333333333333333,0.4,3.0
palinuridae,0.3333333333333333,0.3333333333333333,0.3333333333333333,3.0
pangasiidae,0.5,0.6666666666666666,0.5714285714285714,3.0
papilionidae,1.0,1.0,1.0,3.0
paradisaeidae,0.5,0.6666666666666666,0.5714285714285714,3.0
pardalotidae,0.2857142857142857,0.6666666666666666,0.4,3.0
parulidae,0.6666666666666666,0.6666666666666666,0.6666666666666666,3.0
percidae,0.5,1.0,0.6666666666666666,3.0
phasianidae,0.4,0.6666666666666666,0.5,3.0
phrynosomatidae,1.0,0.3333333333333333,0.5,3.0
phyllomedusidae,0.0,0.0,0.0,3.0
phyllostomidae,1.0,0.6666666666666666,0.8,3.0
pisauridae,0.25,0.3333333333333333,0.2857142857142857,3.0
pittidae,1.0,1.0,1.0,3.0
platystictidae,1.0,0.6666666666666666,0.8,3.0
plethodontidae,0.6111111111111112,0.4074074074074074,0.4888888888888889,27.0
pleuronectidae,0.6666666666666666,0.6666666666666666,0.6666666666666666,3.0
pocilloporidae,0.4444444444444444,0.6666666666666666,0.5333333333333333,6.0
podocnemididae,0.5,0.3333333333333333,0.4,3.0
polyprionidae,0.4,0.6666666666666666,0.5,3.0
pontoporiidae,1.0,0.3333333333333333,0.5,3.0
potoroidae,0.6,1.0,0.75,3.0
pristidae,0.5,0.3333333333333333,0.4,3.0
procellariidae,0.25,0.1111111111111111,0.15384615384615385,9.0
pseudophasmatidae,0.3333333333333333,0.6666666666666666,0.4444444444444444,3.0
psittacidae,0.8,0.3333333333333333,0.47058823529411764,12.0
psittaculidae,0.3,0.5,0.375,6.0
pythonidae,0.4,0.6666666666666666,0.5,6.0
rajidae,0.5,0.5555555555555556,0.5263157894736842,9.0
rallidae,0.2727272727272727,1.0,0.42857142857142855,3.0
ramphastidae,0.6666666666666666,0.6666666666666666,0.6666666666666666,3.0
ranidae,0.5,0.1111111111111111,0.18181818181818182,9.0
recurvirostridae,0.75,1.0,0.8571428571428571,3.0
rhacophoridae,0.5555555555555556,0.8333333333333334,0.6666666666666666,6.0
rhinodermatidae,0.3333333333333333,0.6666666666666666,0.4444444444444444,3.0
rhyacotritonidae,0.5,0.5,0.5,6.0
salamandridae,0.7272727272727273,0.2962962962962963,0.42105263157894735,27.0
salmonidae,0.6666666666666666,0.6666666666666666,0.6666666666666666,3.0
scincidae,0.5,0.6666666666666666,0.5714285714285714,3.0
sciuridae,0.5,0.3333333333333333,0.4,3.0
scolopacidae,0.4444444444444444,0.6666666666666666,0.5333333333333333,6.0
scombridae,0.75,1.0,0.8571428571428571,3.0
serranidae,0.7272727272727273,0.8888888888888888,0.8,9.0
siderastreidae,0.25,0.3333333333333333,0.2857142857142857,3.0
siluridae,1.0,0.3333333333333333,0.5,3.0
somniosidae,0.0,0.0,0.0,3.0
soricidae,0.75,1.0,0.8571428571428571,3.0
sparidae,0.2222222222222222,0.3333333333333333,0.26666666666666666,6.0
spheniscidae,0.6363636363636364,0.5833333333333334,0.6086956521739131,12.0
sphyrnidae,0.23809523809523808,0.5555555555555556,0.3333333333333333,9.0
squalidae,0.3333333333333333,0.3333333333333333,0.3333333333333333,3.0
squatinidae,1.0,0.3333333333333333,0.5,3.0
stichopodidae,1.0,0.6666666666666666,0.8,6.0
strigidae,0.6666666666666666,0.6666666666666666,0.6666666666666666,3.0
strigopidae,0.25,0.3333333333333333,0.2857142857142857,3.0
syngnathidae,0.8333333333333334,0.8333333333333334,0.8333333333333334,6.0
testudinidae,0.6,1.0,0.75,6.0
tettigoniidae,0.6,1.0,0.75,3.0
theraphosidae,1.0,1.0,1.0,3.0
thraupidae,1.0,0.3333333333333333,0.5,9.0
trionychidae,0.5,0.3333333333333333,0.4,3.0
triopsidae,0.0,0.0,0.0,3.0
trochilidae,1.0,0.7777777777777778,0.875,9.0
trogonidae,0.3333333333333333,0.3333333333333333,0.3333333333333333,3.0
tropiduridae,0.2,0.6666666666666666,0.3076923076923077,3.0
turdidae,0.5,0.3333333333333333,0.4,6.0
unionidae,0.5454545454545454,1.0,0.7058823529411765,6.0
urolophidae,1.0,0.6666666666666666,0.8,3.0
ursidae,0.6666666666666666,0.6666666666666666,0.6666666666666666,6.0
vangidae,0.6666666666666666,0.6666666666666666,0.6666666666666666,3.0
vespertilionidae,0.8,0.6666666666666666,0.7272727272727273,6.0
viperidae,0.0,0.0,0.0,3.0
