,precision,recall,f1-score,support
accipitridae,0.5,0.6666666666666666,0.5714285714285714,12.0
acipenseridae,0.3333333333333333,0.4444444444444444,0.38095238095238093,9.0
acroporidae,0.41304347826086957,0.9047619047619048,0.5671641791044776,21.0
agamidae,0.42857142857142855,0.5,0.46153846153846156,6.0
agariciidae,0.5,0.5,0.5,12.0
albulidae,0.0,0.0,0.0,3.0
alcedinidae,1.0,0.3333333333333333,0.5,3.0
alligatoridae,0.0,0.0,0.0,3.0
alopiidae,0.0,0.0,0.0,6.0
ambystomatidae,0.6,0.5,0.5454545454545454,6.0
anatidae,0.5555555555555556,0.5555555555555556,0.5555555555555556,18.0
anguidae,0.42857142857142855,0.5,0.46153846153846156,6.0
aotidae,0.75,0.5,0.6,6.0
apidae,1.0,0.8666666666666667,0.9285714285714286,15.0
ardeidae,0.5555555555555556,0.8333333333333334,0.6666666666666666,6.0
arthroleptidae,1.0,0.6666666666666666,0.8,3.0
atelidae,0.42105263157894735,0.5333333333333333,0.47058823529411764,15.0
attelabidae,1.0,0.6666666666666666,0.8,3.0
balaenicipitidae,0.5,0.3333333333333333,0.4,3.0
balaenidae,0.0,0.0,0.0,3.0
balaenopteridae,1.0,0.6666666666666666,0.8,3.0
balistidae,0.3333333333333333,0.3333333333333333,0.3333333333333333,6.0
bombycillidae,0.75,1.0,0.8571428571428571,3.0
bovidae,0.7,0.5833333333333334,0.6363636363636364,24.0
brachypteraciidae,0.25,0.3333333333333333,0.2857142857142857,3.0
bucerotidae,0.3181818181818182,0.6666666666666666,0.4307692307692308,21.0
bufonidae,0.7272727272727273,0.5333333333333333,0.6153846153846154,15.0
burhinidae,0.6,0.5,0.5454545454545454,6.0
cacatuidae,0.0,0.0,0.0,3.0
callitrichidae,0.6,0.25,0.35294117647058826,12.0
callorhinchidae,0.0,0.0,0.0,3.0
caprimulgidae,0.0,0.0,0.0,3.0
carabidae,0.625,0.8333333333333334,0.7142857142857143,6.0
carcharhinidae,0.5428571428571428,0.7037037037037037,0.6129032258064516,27.0
cardiidae,1.0,0.16666666666666666,0.2857142857142857,6.0
carettochelyidae,1.0,0.6666666666666666,0.8,3.0
cebidae,0.7142857142857143,0.5555555555555556,0.625,9.0
cerambycidae,1.0,1.0,1.0,3.0
cercopithecidae,0.6923076923076923,0.6,0.6428571428571429,30.0
cervidae,0.25,0.3333333333333333,0.2857142857142857,3.0
