,precision,recall,f1-score,support
accipitridae,0.2,0.16666666666666666,0.18181818181818182,12.0
acipenseridae,0.0,0.0,0.0,9.0
acroporidae,0.3870967741935484,0.5714285714285714,0.46153846153846156,21.0
agamidae,0.0,0.0,0.0,6.0
agariciidae,0.3333333333333333,0.08333333333333333,0.13333333333333333,12.0
albulidae,0.0,0.0,0.0,3.0
alcedinidae,0.0,0.0,0.0,3.0
alligatoridae,0.0,0.0,0.0,3.0
alopiidae,0.0,0.0,0.0,6.0
ambystomatidae,0.0,0.0,0.0,6.0
anatidae,0.18181818181818182,0.1111111111111111,0.13793103448275862,18.0
anguidae,0.0,0.0,0.0,6.0
aotidae,0.6666666666666666,0.3333333333333333,0.4444444444444444,6.0
apidae,0.7857142857142857,0.7333333333333333,0.7586206896551724,15.0
ardeidae,0.0,0.0,0.0,6.0
arthroleptidae,0.0,0.0,0.0,3.0
atelidae,0.3333333333333333,0.4,0.36363636363636365,15.0
attelabidae,0.0,0.0,0.0,3.0
balaenicipitidae,0.0,0.0,0.0,3.0
balaenidae,0.0,0.0,0.0,3.0
balaenopteridae,0.0,0.0,0.0,3.0
balistidae,0.0,0.0,0.0,6.0
bombycillidae,0.0,0.0,0.0,3.0
bovidae,0.1875,0.25,0.21428571428571427,24.0
brachypteraciidae,0.0,0.0,0.0,3.0
bucerotidae,0.15517241379310345,0.42857142857142855,0.22784810126582278,21.0
bufonidae,0.2222222222222222,0.13333333333333333,0.16666666666666666,15.0
burhinidae,0.0,0.0,0.0,6.0
cacatuidae,0.0,0.0,0.0,3.0
callitrichidae,0.0,0.0,0.0,12.0
callorhinchidae,0.0,0.0,0.0,3.0
caprimulgidae,0.0,0.0,0.0,3.0
carabidae,0.0,0.0,0.0,6.0
carcharhinidae,0.1702127659574468,0.5925925925925926,0.2644628099173554,27.0
cardiidae,0.0,0.0,0.0,6.0
carettochelyidae,0.0,0.0,0.0,3.0
cebidae,0.15384615384615385,0.2222222222222222,0.18181818181818182,9.0
cerambycidae,0.0,0.0,0.0,3.0
cercopithecidae,0.1282051282051282,0.3333333333333333,0.18518518518518517,30.0
cervidae,0.0,0.0,0.0,3.0
cetorhinidae,0.0,0.0,0.0,3.0
chaetodontidae,0.0,0.0,0.0,6.0
chamaeleonidae,0.0,0.0,0.0,6.0
charadriidae,0.0,0.0,0.0,6.0
cheirogaleidae,0.0,0.0,0.0,3.0
chelidae,0.2,0.16666666666666666,0.18181818181818182,6.0
cheloniidae,0.0,0.0,0.0,3.0
chelydridae,0.0,0.0,0.0,3.0
ciconiidae,0.0,0.0,0.0,9.0
coenagrionidae,0.09090909090909091,0.3333333333333333,0.14285714285714285,3.0
colubridae,0.0,0.0,0.0,9.0
columbidae,0.0,0.0,0.0,3.0
conidae,0.16666666666666666,0.3333333333333333,0.2222222222222222,3.0
cracidae,0.0,0.0,0.0,6.0
cricetidae,0.5,0.3333333333333333,0.4,3.0
crocodylidae,0.0,0.0,0.0,6.0
cryptobranchidae,0.0,0.0,0.0,6.0
ctenomyidae,0.0,0.0,0.0,3.0
cuculidae,0.0,0.0,0.0,3.0
cyprinodontidae,0.0,0.0,0.0,3.0
dactyloidae,0.3050847457627119,0.6,0.4044943820224719,30.0
dalatiidae,0.0,0.0,0.0,3.0
dasyatidae,0.09090909090909091,0.06666666666666667,0.07692307692307693,15.0
dasypodidae,0.6666666666666666,0.6666666666666666,0.6666666666666666,3.0
dasyuridae,0.0,0.0,0.0,3.0
daubentoniidae,0.0,0.0,0.0,3.0
delphinidae,0.19298245614035087,0.9166666666666666,0.3188405797101449,12.0
dendrobatidae,0.5,0.3333333333333333,0.4,3.0
dendrophylliidae,0.0,0.0,0.0,3.0
diomedeidae,0.14285714285714285,0.16666666666666666,0.15384615384615385,18.0
diploastraeidae,0.0,0.0,0.0,3.0
diplodactylidae,0.0,0.0,0.0,6.0
elapidae,0.0,0.0,0.0,3.0
emydidae,0.0,0.0,0.0,6.0
equidae,0.16666666666666666,0.3333333333333333,0.2222222222222222,3.0
estrildidae,0.0,0.0,0.0,3.0
euphylliidae,0.05714285714285714,0.2222222222222222,0.09090909090909091,9.0
falconidae,0.25,0.16666666666666666,0.2,6.0
faviidae,0.0,0.0,0.0,6.0
formicidae,0.19658119658119658,0.7931034482758621,0.3150684931506849,29.0
fringillidae,0.0,0.0,0.0,6.0
fungiidae,0.0,0.0,0.0,3.0
gavialidae,0.0,0.0,0.0,3.0
gekkonidae,0.0,0.0,0.0,3.0
geoemydidae,0.2,0.2222222222222222,0.21052631578947367,9.0
giraffidae,0.5,0.3333333333333333,0.4,3.0
glareolidae,0.0,0.0,0.0,3.0
gliridae,0.0,0.0,0.0,3.0
gomphidae,0.0,0.0,0.0,6.0
goodeidae,0.23076923076923078,1.0,0.375,3.0
gymnuridae,0.0,0.0,0.0,3.0
haliotidae,0.4,0.6666666666666666,0.5,3.0
helioporidae,0.0,0.0,0.0,3.0
hemiscylliidae,0.0,0.0,0.0,3.0
hexanchidae,0.0,0.0,0.0,6.0
hominidae,0.0,0.0,0.0,3.0
hyaenidae,0.0,0.0,0.0,3.0
hylobatidae,0.6,0.3333333333333333,0.42857142857142855,9.0
hynobiidae,0.0,0.0,0.0,3.0
iguanidae,0.0,0.0,0.0,12.0
indriidae,0.0,0.0,0.0,3.0
labridae,0.0,0.0,0.0,6.0
lacertidae,0.0,0.0,0.0,6.0
lamnidae,0.0,0.0,0.0,3.0
laridae,0.16666666666666666,0.3333333333333333,0.2222222222222222,15.0
latimeriidae,0.0,0.0,0.0,3.0
lemuridae,0.0,0.0,0.0,6.0
leporidae,0.0,0.0,0.0,6.0
lobophylliidae,0.0,0.0,0.0,3.0
lucanidae,0.0,0.0,0.0,3.0
lutjanidae,0.0,0.0,0.0,3.0
manidae,0.0,0.0,0.0,6.0
mantellidae,0.0,0.0,0.0,3.0
meandrinidae,0.0,0.0,0.0,3.0
megapodiidae,0.0,0.0,0.0,3.0
merlucciidae,0.0,0.0,0.0,3.0
merulinidae,0.0,0.0,0.0,6.0
mesitornithidae,0.0,0.0,0.0,3.0
mimidae,0.0,0.0,0.0,3.0
motacillidae,0.0,0.0,0.0,3.0
muscicapidae,1.0,0.3333333333333333,0.5,3.0
mustelidae,0.0,0.0,0.0,9.0
myliobatidae,0.16666666666666666,0.2222222222222222,0.19047619047619047,9.0
nesospingidae,0.0,0.0,0.0,3.0
nymphalidae,0.0,0.0,0.0,3.0
odontophoridae,0.0,0.0,0.0,3.0
otariidae,0.3333333333333333,0.16666666666666666,0.2222222222222222,6.0
otididae,0.0,0.0,0.0,3.0
palinuridae,0.0,0.0,0.0,3.0
pangasiidae,0.0,0.0,0.0,3.0
papilionidae,1.0,0.3333333333333333,0.5,3.0
paradisaeidae,1.0,0.3333333333333333,0.5,3.0
pardalotidae,0.0,0.0,0.0,3.0
parulidae,0.0,0.0,0.0,3.0
percidae,0.0,0.0,0.0,3.0
phasianidae,0.0,0.0,0.0,3.0
phrynosomatidae,0.0,0.0,0.0,3.0
phyllomedusidae,0.0,0.0,0.0,3.0
phyllostomidae,0.0,0.0,0.0,3.0
pisauridae,0.0,0.0,0.0,3.0
pittidae,0.0,0.0,0.0,3.0
platystictidae,0.0,0.0,0.0,3.0
plethodontidae,0.08045977011494253,0.25925925925925924,0.12280701754385964,27.0
pleuronectidae,0.0,0.0,0.0,3.0
pocilloporidae,1.0,0.16666666666666666,0.2857142857142857,6.0
podocnemididae,0.0,0.0,0.0,3.0
polyprionidae,0.0,0.0,0.0,3.0
pontoporiidae,0.0,0.0,0.0,3.0
potoroidae,0.0,0.0,0.0,3.0
pristidae,0.0,0.0,0.0,3.0
procellariidae,0.3333333333333333,0.1111111111111111,0.16666666666666666,9.0
pseudophasmatidae,0.0,0.0,0.0,3.0
psittacidae,0.07142857142857142,0.08333333333333333,0.07692307692307693,12.0
psittaculidae,0.0,0.0,0.0,6.0
pythonidae,0.0,0.0,0.0,6.0
rajidae,0.15384615384615385,0.2222222222222222,0.18181818181818182,9.0
rallidae,0.0,0.0,0.0,3.0
ramphastidae,0.0,0.0,0.0,3.0
ranidae,0.0,0.0,0.0,9.0
recurvirostridae,0.0,0.0,0.0,3.0
rhacophoridae,0.0,0.0,0.0,6.0
rhinodermatidae,0.5,0.3333333333333333,0.4,3.0
rhyacotritonidae,0.0,0.0,0.0,6.0
salamandridae,0.1388888888888889,0.18518518518518517,0.15873015873015872,27.0
