,precision,recall,f1-score,support
accipitridae,0.3333333333333333,0.16666666666666666,0.2222222222222222,12.0
acipenseridae,0.0625,0.1111111111111111,0.08,9.0
acroporidae,0.5862068965517241,0.8095238095238095,0.68,21.0
agamidae,0.3333333333333333,0.3333333333333333,0.3333333333333333,6.0
agariciidae,0.6923076923076923,0.75,0.72,12.0
albulidae,0.0,0.0,0.0,3.0
alcedinidae,0.25,0.3333333333333333,0.2857142857142857,3.0
alligatoridae,0.0,0.0,0.0,3.0
alopiidae,0.0,0.0,0.0,6.0
ambystomatidae,0.0,0.0,0.0,6.0
anatidae,0.47619047619047616,0.5555555555555556,0.5128205128205128,18.0
anguidae,0.6666666666666666,0.3333333333333333,0.4444444444444444,6.0
aotidae,1.0,0.3333333333333333,0.5,6.0
apidae,0.7857142857142857,0.7333333333333333,0.7586206896551724,15.0
ardeidae,0.3333333333333333,0.5,0.4,6.0
arthroleptidae,0.0,0.0,0.0,3.0
atelidae,0.6666666666666666,0.4,0.5,15.0
attelabidae,0.6666666666666666,0.6666666666666666,0.6666666666666666,3.0
balaenicipitidae,0.0,0.0,0.0,3.0
balaenidae,0.0,0.0,0.0,3.0
balaenopteridae,0.5,0.3333333333333333,0.4,3.0
balistidae,0.3333333333333333,0.5,0.4,6.0
bombycillidae,0.0,0.0,0.0,3.0
bovidae,0.48,0.5,0.4897959183673469,24.0
brachypteraciidae,0.25,0.3333333333333333,0.2857142857142857,3.0
bucerotidae,0.21739130434782608,0.47619047619047616,0.29850746268656714,21.0
bufonidae,0.4117647058823529,0.4666666666666667,0.4375,15.0
burhinidae,0.375,0.5,0.42857142857142855,6.0
cacatuidae,0.0,0.0,0.0,3.0
callitrichidae,0.0,0.0,0.0,12.0
callorhinchidae,0.0,0.0,0.0,3.0
caprimulgidae,0.0,0.0,0.0,3.0
carabidae,0.25,0.6666666666666666,0.36363636363636365,6.0
carcharhinidae,0.4222222222222222,0.7037037037037037,0.5277777777777778,27.0
cardiidae,0.2222222222222222,0.3333333333333333,0.26666666666666666,6.0
carettochelyidae,1.0,0.6666666666666666,0.8,3.0
cebidae,0.4,0.6666666666666666,0.5,9.0
cerambycidae,0.5,0.3333333333333333,0.4,3.0
cercopithecidae,0.45,0.6,0.5142857142857142,30.0
cervidae,0.0,0.0,0.0,3.0
cetorhinidae,0.0,0.0,0.0,3.0
chaetodontidae,0.5714285714285714,0.6666666666666666,0.6153846153846154,6.0
chamaeleonidae,0.5,0.6666666666666666,0.5714285714285714,6.0
charadriidae,0.5,0.6666666666666666,0.5714285714285714,6.0
cheirogaleidae,0.3333333333333333,0.3333333333333333,0.3333333333333333,3.0
chelidae,0.0,0.0,0.0,6.0
cheloniidae,0.0,0.0,0.0,3.0
chelydridae,0.0,0.0,0.0,3.0
ciconiidae,0.8,0.4444444444444444,0.5714285714285714,9.0
coenagrionidae,1.0,0.6666666666666666,0.8,3.0
colubridae,0.6,0.6666666666666666,0.631578947368421,9.0
columbidae,1.0,0.6666666666666666,0.8,3.0
conidae,0.75,1.0,0.8571428571428571,3.0
cracidae,0.6,0.5,0.5454545454545454,6.0
cricetidae,0.25,0.3333333333333333,0.2857142857142857,3.0
crocodylidae,0.3333333333333333,0.16666666666666666,0.2222222222222222,6.0
cryptobranchidae,0.0,0.0,0.0,6.0
ctenomyidae,0.0,0.0,0.0,3.0
cuculidae,0.3333333333333333,0.3333333333333333,0.3333333333333333,3.0
cyprinodontidae,0.0,0.0,0.0,3.0
dactyloidae,0.627906976744186,0.9,0.7397260273972602,30.0
dalatiidae,0.3333333333333333,0.3333333333333333,0.3333333333333333,3.0
dasyatidae,0.47058823529411764,0.5333333333333333,0.5,15.0
dasypodidae,1.0,0.6666666666666666,0.8,3.0
dasyuridae,0.0,0.0,0.0,3.0
daubentoniidae,0.0,0.0,0.0,3.0
delphinidae,0.44,0.9166666666666666,0.5945945945945946,12.0
dendrobatidae,0.0,0.0,0.0,3.0
dendrophylliidae,0.5,0.3333333333333333,0.4,3.0
diomedeidae,0.6,0.6666666666666666,0.631578947368421,18.0
diploastraeidae,1.0,0.6666666666666666,0.8,3.0
diplodactylidae,0.3333333333333333,0.16666666666666666,0.2222222222222222,6.0
elapidae,0.0,0.0,0.0,3.0
emydidae,0.6,0.5,0.5454545454545454,6.0
equidae,1.0,1.0,1.0,3.0
estrildidae,0.3333333333333333,0.3333333333333333,0.3333333333333333,3.0
euphylliidae,0.3333333333333333,0.5555555555555556,0.4166666666666667,9.0
falconidae,0.0,0.0,0.0,6.0
faviidae,0.6666666666666666,0.3333333333333333,0.4444444444444444,6.0
formicidae,0.8333333333333334,0.6896551724137931,0.7547169811320755,29.0
fringillidae,0.75,0.5,0.6,6.0
fungiidae,1.0,0.6666666666666666,0.8,3.0
gavialidae,0.0,0.0,0.0,3.0
gekkonidae,0.0,0.0,0.0,3.0
geoemydidae,0.3125,0.5555555555555556,0.4,9.0
giraffidae,0.0,0.0,0.0,3.0
glareolidae,0.0,0.0,0.0,3.0
gliridae,0.0,0.0,0.0,3.0
gomphidae,0.21052631578947367,0.6666666666666666,0.32,6.0
goodeidae,1.0,1.0,1.0,3.0
gymnuridae,0.0,0.0,0.0,3.0
haliotidae,0.75,1.0,0.8571428571428571,3.0
helioporidae,0.0,0.0,0.0,3.0
hemiscylliidae,0.0,0.0,0.0,3.0
hexanchidae,0.2,0.16666666666666666,0.18181818181818182,6.0
hominidae,1.0,0.3333333333333333,0.5,3.0
hyaenidae,0.0,0.0,0.0,3.0
hylobatidae,1.0,0.6666666666666666,0.8,9.0
hynobiidae,0.0,0.0,0.0,3.0
iguanidae,0.3076923076923077,0.6666666666666666,0.42105263157894735,12.0
indriidae,0.0,0.0,0.0,3.0
labridae,0.5,0.3333333333333333,0.4,6.0
lacertidae,0.16666666666666666,0.16666666666666666,0.16666666666666666,6.0
lamnidae,0.0,0.0,0.0,3.0
laridae,0.3,0.2,0.24,15.0
latimeriidae,0.3333333333333333,0.3333333333333333,0.3333333333333333,3.0
lemuridae,0.14285714285714285,0.3333333333333333,0.2,6.0
leporidae,0.0,0.0,0.0,6.0
lobophylliidae,0.3333333333333333,0.3333333333333333,0.3333333333333333,3.0
lucanidae,0.0,0.0,0.0,3.0
lutjanidae,0.0,0.0,0.0,3.0
manidae,0.25,0.16666666666666666,0.2,6.0
mantellidae,0.0,0.0,0.0,3.0
meandrinidae,0.5,0.6666666666666666,0.5714285714285714,3.0
megapodiidae,0.0,0.0,0.0,3.0
merlucciidae,0.0,0.0,0.0,3.0
merulinidae,0.0,0.0,0.0,6.0
mesitornithidae,1.0,0.3333333333333333,0.5,3.0
mimidae,0.0,0.0,0.0,3.0
motacillidae,1.0,0.3333333333333333,0.5,3.0
muscicapidae,0.25,0.3333333333333333,0.2857142857142857,3.0
mustelidae,0.25,0.1111111111111111,0.15384615384615385,9.0
myliobatidae,0.2857142857142857,0.4444444444444444,0.34782608695652173,9.0
nesospingidae,0.0,0.0,0.0,3.0
nymphalidae,0.2857142857142857,0.6666666666666666,0.4,3.0
odontophoridae,0.42857142857142855,1.0,0.6,3.0
otariidae,0.5,0.3333333333333333,0.4,6.0
otididae,0.0,0.0,0.0,3.0
palinuridae,0.5,0.3333333333333333,0.4,3.0
pangasiidae,0.5,0.3333333333333333,0.4,3.0
papilionidae,1.0,0.6666666666666666,0.8,3.0
paradisaeidae,1.0,0.3333333333333333,0.5,3.0
pardalotidae,0.0,0.0,0.0,3.0
parulidae,0.3333333333333333,0.3333333333333333,0.3333333333333333,3.0
percidae,1.0,0.6666666666666666,0.8,3.0
phasianidae,1.0,0.3333333333333333,0.5,3.0
phrynosomatidae,0.0,0.0,0.0,3.0
phyllomedusidae,0.0,0.0,0.0,3.0
phyllostomidae,0.0,0.0,0.0,3.0
pisauridae,0.0,0.0,0.0,3.0
pittidae,1.0,0.3333333333333333,0.5,3.0
platystictidae,0.4,0.6666666666666666,0.5,3.0
plethodontidae,0.75,0.4444444444444444,0.5581395348837209,27.0
pleuronectidae,0.6666666666666666,0.6666666666666666,0.6666666666666666,3.0
pocilloporidae,0.25,0.6666666666666666,0.36363636363636365,6.0
podocnemididae,0.0,0.0,0.0,3.0
polyprionidae,0.0,0.0,0.0,3.0
pontoporiidae,0.0,0.0,0.0,3.0
potoroidae,0.0,0.0,0.0,3.0
pristidae,0.0,0.0,0.0,3.0
procellariidae,0.0,0.0,0.0,9.0
pseudophasmatidae,0.6666666666666666,0.6666666666666666,0.6666666666666666,3.0
psittacidae,0.2857142857142857,0.3333333333333333,0.3076923076923077,12.0
psittaculidae,0.25,0.3333333333333333,0.2857142857142857,6.0
pythonidae,0.5714285714285714,0.6666666666666666,0.6153846153846154,6.0
rajidae,0.3333333333333333,0.2222222222222222,0.26666666666666666,9.0
rallidae,0.0,0.0,0.0,3.0
ramphastidae,1.0,0.3333333333333333,0.5,3.0
ranidae,0.1875,0.3333333333333333,0.24,9.0
recurvirostridae,0.5,0.6666666666666666,0.5714285714285714,3.0
rhacophoridae,0.2,0.3333333333333333,0.25,6.0
rhinodermatidae,0.4,0.6666666666666666,0.5,3.0
rhyacotritonidae,0.5,0.16666666666666666,0.25,6.0
salamandridae,0.32608695652173914,0.5555555555555556,0.410958904109589,27.0
